title,description,rating,year,tags,cover,mal_Title,Rank,Type,Volumes,Published,Members,page_url,image_url,Score
Sweet Home,A reclusive high school student is suddenly forced to leave his home due to an unexpected turn of events.,4.6,2017,"['Drama', 'Horror', 'Manhwa', 'Webtoons', 'Apocalypse', 'Full Color', 'Mental Illness', 'Monsters', 'Psychological', 'Supernatural', 'Survival', 'Thriller', 'Bullying', 'Mature Themes', 'Physical Abuse', 'Sexual Abuse', 'Suicide', 'Violence', 'Domestic Abuse']",https://cdn.anime-planet.com/manga/primary/sweet-home-1-190x270.jpg?t=1625917078,Sweet Home,343,Manhwa,12,Oct 2017 - Jul 2020,69295,https://myanimelist.net/manga/124845/Sweet_Home,https://cdn.myanimelist.net/r/100x140/images/manga/3/227600.jpg?s=659f13c37ed8ccf9c08e2cf279dfc8b0,8.26
Made in Abyss,"Young Riko has spent her entire childhood dreaming of exploring the Abyss, an enormous pit and series of caves filled with wonders and terrors that only the staunchest Cave Raiders have survived to bring back ancient artifacts from its depths. No one knows just how deep the pit is, but Riko's own mother disappeared into it years ago, leaving her daughter behind with a powerful urge to follow after her and learn the Abyss's mysteries for herself. One day Riko discovers a boy who seems to have originated from the Abyss and appears to be a sort of robot. Can he aid the little girl in her quest to find her missing mother? Or will the children become the Abyss's next victims?",4.6,2012,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci Fi', 'Seinen', 'Androids', 'Curse', 'Dark Fantasy', 'Melancholy', 'Non-Human Protagonists', 'Orphans', 'Outside World', 'Psychological', 'Robots', 'Nudity', 'Violence', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/made-in-abyss-1-190x267.jpg?t=1625914339,Made in Abyss,39,Manga,?,Oct 2012 -,150446,https://myanimelist.net/manga/91941/Made_in_Abyss,https://cdn.myanimelist.net/r/100x140/images/manga/3/161645.jpg?s=8eaa565f7aab62156c53a0e09d8b3e8c,8.77
Hirano to Kagiura,"Hirano, a second-year in high school, lives in a dormitory on his campus and has recently become roommates with Kagiura, a first-year. Kagiura is a hard-working student on the basketball team, though he does have difficulty getting up in the morning, leaving Hirano to be his support system in that regard. They get along great, and Hirano is very fond of his earnest, straight-forward roommate. What he doesn’t know? Kagiura is pretty much head over heels in love with him.",4.6,2019,"['BL', 'Josei', 'Romance', 'Shounen-ai', 'All-Boys School', 'School Life', 'Senpai-Kouhai Relationship']",https://cdn.anime-planet.com/manga/primary/hirano-to-kagiura-1-190x270.jpg?t=1625922111,Hirano to Kagiura,190,Manga,?,Mar 2019 -,7688,https://myanimelist.net/manga/119279/Hirano_to_Kagiura,https://cdn.myanimelist.net/r/100x140/images/manga/2/221355.jpg?s=54c66017e4dd07c77ddf4957e60816c8,8.41
King's Maker,"Wolfgang Goldenleonard, the 4th Prince of the kingdom, returns to the palace after years of living in hiding. He rejects everything about his new royal life, but is intrigued by the mysterious and dutiful Shin Soohyuk, a catamite of the King. As Wolfgang slowly opens up and learns the ways of the palace, Soohyuk begins to see something special about the wild, unkempt, and stubborn young prince. He might just be the one Soohyuk has been waiting for... the one who could light the flame of rebellion.",4.6,2017,"['BL', 'Fantasy', 'Manhwa', 'Romance', 'Shounen-ai', 'Webtoons', 'Full Color', 'Medieval', 'Opposites Attract', 'Political', 'Rebellions', 'Royalty', 'Animal Abuse', 'Mature Themes', 'Nudity', 'Physical Abuse', 'Sexual Abuse', 'Sexual Content', 'Violence']",https://cdn.anime-planet.com/manga/primary/kings-maker-1-190x272.jpg?t=1625916411,King's Maker,493,Manhwa,3,Apr 2017 - Nov 2017,10561,https://myanimelist.net/manga/113555/Kings_Maker,https://cdn.myanimelist.net/r/100x140/images/manga/2/222761.jpg?s=768adebc9ecf740d56372577b9940adc,8.14
Beware the Villainess!,"Sit back and take in this romantic tale of an angelic heroine and her devoted suitors as they vie for the depths of her love... or not. This story’s about to go through some edits! After an accident, a modern-day college student awakens as the story’s villainess, Melissa Foddebrat. She’s far from anyone’s favorite, but she IS the daughter of the duke. Determined to live it up, this new Melissa is doing things her way — antiquated society, be damned! All idiots, prepare to step aside or perish! ",4.6,2020,"['Comedy', 'Fantasy', 'Manhwa', 'Romance', 'Webtoons', 'Full Color', 'Nobility', 'Person in a Strange World', 'Transported Into a Novel', 'Villainess', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/beware-the-villainess-1-285x399.jpg?t=1637967033,Beware the Villainess!,1359,Manhwa,?,Apr 2020 - Oct 2022,8831,https://myanimelist.net/manga/146912/Beware_the_Villainess,https://cdn.myanimelist.net/r/100x140/images/manga/2/260779.jpg?s=df508cca8df2228a61362b0f15c00e3d,7.77
Positively Yours,"To Hee-won’s dismay, the BFF she crushed on and her other BFF are now dating! Seriously bummed, Hee-won decides to go wild just one time, and find solace with a handsome stranger. A very satisfying one night affair has now turned into more — she’s pregnant! Fate brings them together again, and now the regimented Doo-joon is determined to do the right thing and marry her. But they’re basically strangers! Except... their bodies have been very intimately acquainted. What’s this mother-to-be to do?",4.6,2020,"['Manhwa', 'Romance', 'Webtoons', 'Full Color', 'One-Night Stand', 'Pregnancy', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/positively-yours-1-190x266.jpg?t=1625927231,Positively Yours,761,Manhwa,8,Jun 2020 - Mar 2022,4733,https://myanimelist.net/manga/140921/Positively_Yours,https://cdn.myanimelist.net/r/100x140/images/manga/1/264676.jpg?s=e85c20d540eda99d531578f928657bc2,7.98
Death Note,"Power corrupts, and absolute power corrupts absolutely. Top-ranked student Yagami Light is disenchanted with the world around him. Through a series of events, he comes into possession of the ultimate power over life and death: a supernatural ""death note"" which can kill nearly anyone at his whim. As Light sets off on a crusade-turned-killing-spree, investigators from a police task force try to stop the mysterious deaths - including Light's own father, a senior policeman.",4.6,2003,"['Drama', 'Mystery', 'Shounen', 'Crime', 'Criminals', 'Detectives', 'Mind Games', 'Psychological', 'Psychopaths', 'Rivalries', 'Secret Identity', 'Serial Killers', 'Shinigami', 'Supernatural', 'Thriller', 'Vigilantes', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/death-note-1-285x428.jpg?t=1634714070,Death Note,48,Manga,12,Dec 2003 - May 2006,379910,https://myanimelist.net/manga/21/Death_Note,https://cdn.myanimelist.net/r/100x140/images/manga/1/258245.jpg?s=9b7961561d92e8114c02af0ea0cc7898,8.7
Second Life Ranker,"Yeonwoo’s brother disappeared years ago, and he’s devastated to learn of his death. As he copes with his loss, he’s given a pocket watch and learns there’s more to his brother’s death: he was betrayed while competing in the Tower of the Sun God. Now it’s Yeonwoo’s turn to use the knowledge his brother left behind. Can Yeonwoo (call sign: Cain) navigate that world and gain enough power and experience to reach the top of the tower, defeating his brother’s enemies and all those who stand in his way?",4.6,2019,"['Action', 'Adventure', 'Fantasy', 'Manhwa', 'Webtoons', 'Death of a Loved One', 'Full Color', 'Revenge', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/second-life-ranker-1-285x398.jpg?t=1628880493,Second Life Ranker,2407,Manhwa,?,May 2019 -,13331,https://myanimelist.net/manga/147324/Second_Life_Ranker,https://cdn.myanimelist.net/r/100x140/images/manga/2/261257.jpg?s=abbe92ce5911ad91d554695829003751,7.56
Horimiya,"Kyouko and Izumi are two classmates who each lead a double life: the popular and talented Kyouko cares for her little brother by herself while her parents are away, and the quiet, bespectacled Izumi hides his many piercings and tattoos at school. After accidentally discovering each other's secrets the pair becomes fast friends, and together, they begin to navigate their new relationship together amongst unknowing peers and love rivals alike.",4.6,2011,"['Comedy', 'Romance', 'Shounen', 'Romantic Comedy', 'School Life', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/horimiya-1-190x285.jpg?t=1625911471,Horimiya,181,Manga,16,Oct 2011 - Mar 2021,323487,https://myanimelist.net/manga/42451/Horimiya,https://cdn.myanimelist.net/r/100x140/images/manga/2/245008.jpg?s=66aaa354bf77a0d126351dcc5f225044,8.43
Watashitachi no Shiawase na Jikan,"After Juri's third suicide attempt, only her aunt Monica cares enough to help her. Monica is a nun who regularly visits convicts and, believing that Juri will provide some insight on these emotionally destitute men, invites her to come along. One such prisoner is Yuu, who is on death row for murder, but has refused all visitors because of the hypocrisy he sees in the religious and other self-proclaimed do-gooders. When the two meet, they realize they have lived through similar turmoil, and agree to reconvene weekly to try to make sense of their lives.",4.6,2008,"['Drama', 'Romance', 'Seinen', 'Melancholy', 'Prison', 'Psychological', 'Mature Themes', 'Suicide', 'Based on a Novel']",https://cdn.anime-planet.com/manga/primary/watashitachi-no-shiawase-na-jikan-1-190x268.jpg?t=1625908810,Watashitachi no Shiawase na Jikan,122,Manga,1,Mar 2008 - Aug 2008,112491,https://myanimelist.net/manga/11734/Watashitachi_no_Shiawase_na_Jikan,https://cdn.myanimelist.net/r/100x140/images/manga/3/66993.jpg?s=2cb4b03b7e137d844fc36c6b09640211,8.53
Tokyo Ghoul,"Shy Ken Kaneki is thrilled to go on a date with the beautiful Rize. But it turns out that she’s only interested in his body—eating it, that is. When a morally questionable rescue transforms him into the first half-human half-Ghoul hybrid, Ken is drawn into the dark and violent world of Ghouls, which exists alongside our own.",4.6,2011,"['Action', 'Drama', 'Horror', 'Seinen', 'Human Experimentation', 'Psychological', 'Supernatural', 'Thriller', 'Cannibalism', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/tokyo-ghoul-1-190x273.jpg?t=1625910750,Tokyo Ghoul,8536,One-shot,?,Mar 2011 - Mar 2011,17242,https://myanimelist.net/manga/80909/Tokyo_Ghoul,https://cdn.myanimelist.net/r/100x140/images/manga/1/140109.jpg?s=aa8625da7f143de104dffb2f456610d7,7.0
The Remarried Empress,"Navier Ellie Trovi was an empress perfect in every way -- intelligent, courageous, and socially adept. She was kind to her subjects and devoted to her husband. Navier was perfectly content to live the rest of her days as the wise empress of the Eastern Empire. That is, until her husband brought home a mistress and demanded a divorce. “I accept this divorce… And I request an approval of my remarriage.” In a shocking twist, Navier remarries another emperor and retains her title and childhood dream as empress. But just how did everything unfold?",4.6,2019,"['Drama', 'Fantasy', 'Manhwa', 'Romance', 'Webtoons', 'Full Color', 'Historical', 'Royalty', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/the-remarried-empress-1-285x399.jpg?t=1629139229,The Remarried Empress,634,Manhwa,?,Oct 2019 -,18818,https://myanimelist.net/manga/123475/The_Remarried_Empress,https://cdn.myanimelist.net/r/100x140/images/manga/1/235295.jpg?s=65df9c217bf2ddabb257eeb67dcbd1e6,8.06
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.","A twenty-year-old with little hope for the future discovers a shop that buys lifespan, time, and health. ",4.6,2016,"['Drama', 'Romance', 'Shounen', 'Childhood Friends', 'Childhood Promise', 'Loneliness', 'Mature Romance', 'Melancholy', 'Mysterious Shop', 'Psychological', 'Supernatural', 'Based on a Light Novel']",https://cdn.anime-planet.com/manga/primary/jumyou-wo-kaitotte-moratta-ichinen-ni-tsuki-ichimanen-de-1-190x298.jpg?t=1625916081,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",33,Manga,3,Aug 2016 - Oct 2017,151604,https://myanimelist.net/manga/100448/Jumyou_wo_Kaitotte_Moratta_Ichinen_ni_Tsuki_Ichimanen_de,https://cdn.myanimelist.net/r/100x140/images/manga/5/260043.jpg?s=48bc8666d3acf141cc143d7d39847657,8.79
ReLIFE,"Arata Kaizaki (27) quit the job he landed after graduation in only three months. His life did not go well after that. Now his parents are threatening to stop sending money, and want him to come back to the country. He has no friend or girlfriend to share his troubles with...as he hits rock bottom a strange man named Ryo Yoake appears. Yoake invites Kaizaki to join a societal rehabilitation program for NEETs called ReLife. This program uses a mysterious drug to make him look younger, and sends him back to high school for a year...",4.6,2013,"['Comedy', 'Drama', 'Seinen', 'Slice of Life', 'Webtoons', 'Age Transformation', 'Full Color', 'NEET', 'Psychological', 'School Life', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/relife-1-285x399.jpg?t=1632610044,ReLIFE,65,Manga,15,Oct 2013 - Mar 2018,155374,https://myanimelist.net/manga/78523/ReLIFE,https://cdn.myanimelist.net/r/100x140/images/manga/2/171573.jpg?s=27b9e2911ba10fd42964487b24340f7b,8.65
Boy Meets Maria,"Taiga dreams of becoming an actor, so the first thing he does upon entering high school is join the drama club. There, he meets the beautiful, enigmatic Maria and immediately falls in love with her. Not long after, Taiga is told that she is actually a boy–but is that all there is to Maria’s story? This beautifully illustrated one-volume tale, the debut work of creator PEYO before their untimely passing in 2020, explores the layered nature of personal expression and the fluidity of the power of love.",4.6,2017,"['BL', 'Drama', 'Shounen-ai', 'Acting', 'Crossdressing', 'Mental Illness', 'Psychological', 'School Club', 'School Life', 'Mature Themes', 'Physical Abuse', 'Sexual Abuse']",https://cdn.anime-planet.com/manga/primary/boy-meets-maria-1-285x406.jpg?t=1631495458,Boy Meets Maria,287,Manga,1,Oct 2017 - Aug 2018,19381,https://myanimelist.net/manga/119392/Boy_Meets_Maria,https://cdn.myanimelist.net/r/100x140/images/manga/1/225981.jpg?s=f522acfbd27447c7a7bb72796006689f,8.31
